variable_name,type,location,scope,fields_or_returns,description,used_by
output$session_status,renderUI,module_session_storage.R,Module,tagList,Displays current session ID with copy button.,Storage sidebar section
output$file_status,renderUI,module_session_storage.R,Module,div,Displays loaded filename and timestamps.,Storage sidebar section
output$notification_status,renderUI,module_email_notifications.R,Module,div,Shows enabled email and batch delay info.,Email sidebar section
output$batch_status,renderUI,module_email_notifications.R,Module,div,Shows pending changes count and time until send.,Email sidebar section
output$table (meta),renderReactable,editableTableServer,Module,reactable,Renders the editable metadata table.,Main editor panel
output$table (counts),renderReactable,linkedTableServer,Module,reactable,Renders the linked count matrix table.,Main editor panel
output$summary_text,renderUI,summaryServer,Module,tagList,Displays sample count and group distribution.,Editor sidebar
output$pca_plot,renderPlotly,app.R server,Global,plotly,Interactive PCA score plot.,PCA tab
output$pca_scree,renderPlotly,app.R server,Global,plotly,Scree plot showing variance explained.,PCA tab
output$pca_summary,renderPrint,app.R server,Global,text,Text summary of PCA parameters and results.,PCA tab
get_summary_func,reactive (parameter),emailNotificationsServer,Module,list,Passed to email module - returns current data summary for email body.,send_batched_changes()
